(C)1. 稅捐稽徵法第2條所稱之稅捐，不包括下列何項稅目？
(A)75. 所得稅法第27條規定，營利事業之銷貨，未給與他人銷貨憑證或未將銷貨憑證存根保存者，稽徵機關得如何核定銷貨價格？
(A) 按當年度當地該項貨品之最高價格
(B) 按當年度當地該項貨品之最低價格
(C) 按當年度當地該項貨品之平均價格
(D) 按當年度當地該項貨品之市價平均價格

(D)76. 所得稅法第44條規定，商品、原料、物料、在製品、製成品、副產品等存貨之估價，以何種成本為準？
(A) 變動成本
(B) 機會成本
(C) 固定成本
(D) 實際成本

(A)77. 所得稅法第49條規定，應收帳款及應收票據債權之估價'應以其扣除預計備抵呆帳後之數額為標準。備抵呆帳，應就應收帳款與應收票據餘額多少百分比之限度內，酌量估列？
(A) 百分之一
(B) 百分之三
(C) 百分之五
(D) 百分之十

(B)78. 所得稅法第60條規定，無形資產之估價，以自其成本中按期扣除攤折額後之價額為準。其中，營業權之以其成本多少年為計算攤折之標準？
(A) 五年
(B) 十年
(C) 十五年
(D) 依其取得後法定享有之年數

(A)79. 所得稅法第66條規定，納稅義務人對於各種資產之估價不能提出確實證明文據時，該管稽徵機關得如何估定其價額？
(A) 得自行逕行估定其價額
(B) 由上級機關估定其價額
(C) 偕同估價公會估定其價額
(D) 與納稅義務人協商估定其價額

(B)80. 所得稅法第71-1條規定，中華民國境內居住之個人於年度中死亡，其死亡及以前年度依本法規定應申報課稅之所得，原則應由繼承人等於死亡人死亡之日起多久時間內，依法辦理結算申報？
(A) 一個月內
(B) 三個月內
(C) 六個月內
(D) 一年內

(A)81. 所得稅法第77條規定，營利事業所得稅結算申報書，應按規定使用之。下列何者正確？
(A) 普通申報書：一般營利事業適用之；藍色申報書：凡經稽徵機關核准者適用之。
(B) 普通申報書：凡經稽徵機關核准者適用之；藍色申報書：一般營利事業適用之
(C) 普通申報書或藍色申報書，由營利事業自行決定適用
(D) 申報書不區分普通申報書或藍色申報書

(C)82. 所得稅法第79條規定，納稅義務人未依規定期限辦理結算申報者'稽徴機關應即填具滯報通知書，送達納稅義務人，限於接到滯報通知書之日起幾日內補辦結算申報？
(A) 七日
(B) 十日
(C) 十五日
(D) 三十日

(D)83. 所得稅法第103條規定，告發或檢舉納稅義務人或扣繳義務人有匿報、短報或以詐欺及其他不正當行為之逃稅情事，經查明屬實者，稽徵機關應以罰鍰之多少比例，獎給舉發人？
(A) 百分之五
(B) 百分之十
(C) 百分之十五
(D) 百分之二十

(C)84. 所得稅法第123條規定，本法所稱當地銀行業通行之存款利率，係指何種利率？
(A) 民法規定之法定利率
(B) 中央銀行一年期定期儲金固定利率
(C) 郵政儲金一年期定期儲金固定利率
(D) 當地銀行業排定之浮動存款利率

(C)85. 遺產及贈與稅法第2條規定，無人承認繼承之遺產，依法歸屬國庫；其應繳之遺產稅，由國庫依何種法令之規定分配之？
(A) 地方稅法通則
(B) 地方自治條例
(C) 財政收支劃分法
(D) 稅捐稽徵法

(B)86. 遺產及贈與稅法第3-1條規定，死亡事實或贈與行為發生前多久時間內，被繼承人或贈與人自願喪失中華民國國籍者，仍應依本法關於中華民國國民之規定，課徵遺產稅或贈與稅？
(A) 一年
(B) 二年
(C) 五年
(D) 三年

(D)87. 遺產及贈與稅法第5條規定，下列何種親屬間財產之買賣，以贈與論'課徵贈與稅？
(A) 堂兄弟之間
(B) 表姊妹之間
(C) 叔叔姪子之間
(D) 祖父孫子之間

(A)88. 遺產及贈與稅法第7條規定，甲贈與乙現金800萬，應由何人繳納贈與稅？
(A) 甲應繳納贈與稅
(B) 乙應繳納贈與稅
(C) 甲與乙共同繳納贈與稅
(D) 甲與乙雙方合意決定繳納贈與稅

(B)89. 遺產及贈與稅法第10條規定，遺產及贈與財產價值之計算，以被繼承人死亡時或贈與人贈與時之何種價格為準？
(A) 市價
(B) 時價
(C) 議價
(D) 估價

(A)90. 遺產及贈與稅法第13條規定，甲被繼承人死亡時，依遺產及贈與稅法規定計算之遺產淨額為新台幣5000萬元，應課多少遺產稅？
(A) 500萬
(B) 650萬
(C) 1000萬
(D) 2500萬

(D)91. 遺產及贈與稅法第15條規定，被繼承人甲死亡時，曾於死亡前二年之內贈與下列親屬財產，問下列何人不必將贈與財產併入遺產總額課稅？
(A) 被繼承人甲之配偶乙
(B) 被繼承人甲之女兒丙
(C) 被繼承人甲之媳婦丁
(D) 被繼承人甲之叔叔戊

(B)92. 遺產及贈與稅法第16條規定，被繼承人死亡時，其下列何種財產計入遺產內課徵遺產稅？
(A) 被繼承人自己創作之藝術品
(B) 約定於被繼承人死亡時，給付其未指定受益人之人壽保險金額
(C) 被繼承人配偶及子女之原有財產或特有財產，確有證明者
(D) 被繼承人職業上之工具，其總價值在四十萬元以下部分

(C)93. 加值型及非加值型營業稅法第43條規定，營業人有下列何種情形，主管稽徵機關得依照查得之資料•核定其銷售額及應納稅額並補徴之？
(A) 逾規定申報限期十日，尚未申報銷售額
(B) 未裝潢店面，即行開始營業
(C) 於統一發票上短開銷售額
(D) 多報銷售額

(B)94. 遺產及贈與稅法第19條規定，甲贈與人年贈與總額給與B新台幣5000萬元，應課多少贈與？
(A) 250萬
(B) 625萬
(C) 750萬
(D) 500萬

(D)95. 遺產及贈與稅法第20條規定，下列何種財產計入贈與總額，課贈與稅？
(A) 捐贈公立慈善機關之財產
(B) 扶養義務人為受扶養人支付之生活費
(C) 配偶相互贈與之財產
(D) 父母於子女婚嫁時所贈與200萬元

(C)96. 遺產及贈與稅法第23條規定，被繼承人死亡遺有財產者，納稅義務人應於被繼承人死亡之日起多久少時間內，向戶籍所在地主管稽徵機關依本法規定辦理遺產稅申報？
(A) 一個月
(B) 三個月
(C) 六個月
(D) 九個月

(B)97. 遺產及贈與稅法第30條規定，遺產稅及贈與稅納稅義務人，應於稽徵機關送達核定納稅通知書之日起多久之內，繳清應納稅款？
(A) 一個月
(B) 二個月
(C) 三個月
(D) 六個月

(C)98. 遺產及贈與稅法第30條規定，遺產稅或贈與稅應納稅額在多少金額以上，納稅義務人確有困難，得向該管稽徵機關申需分期繳納？
(A) 十萬元
(B) 二十萬元
(C) 三十萬元
(D) 六十萬元

(B)99. 加值型及非加值型營業稅法第7條規定，下列何種貨物或勞務之營業稅稅率非為零？
(A) 外銷貨物
(B) 國內運輸用之船舶、航空器
(C) 銷售與保稅區營業人供營運之貨物或勞務
(D) 依法設立之免稅商店銷售與過境或出境旅客之貨物

(B)100. 加值型及非加值型營業稅法第8條規定，下列何種貨物或勞務應徵營業稅？
(A) 出售之土地
(B) 職業學校對外營業之實習商店銷售之貨物
(C) 學校提供之教育勞務及政府委託代辦之文化勞務
(D) 供應之農田灌溉用水

