(D)1. 下列何者非行政程序法第一條之立法目的？
(D) 對公務員所為之人事行政行為以外之行為

(B)19. 下列事項，何者適用行政程序法之程序規定？
(A) 監察院辦理人民陳情事件之調查
(B) 經濟部依法律授權，訂定補償紆困辦法
(C) 考試院所為有關考選命題及評分之行為
(D) 難民認定之行政行為

(D)20. 下列何者適用行政程序法之程序規定？
(A) 外國人出、入境、難民認定及國籍變更之行為
(B) 刑事案件犯罪偵查程序
(C) 有關私權爭執之行政裁決程序
(D) 教育部有關公費留學考試之命題及評分之行為

(C)21. 下列何機關之行政行為，不適用行政程序法之程序規定？
(A) 國防部
(B) 外交部
(C) 審計部
(D) 原住民委員會

(C)22. 下列何種行政行為適用行政程序法之程序規定？
(A) 不起訴處分
(B) 學生成績之評定
(C) 交通違規之記點決定
(D) 對公務員之申誡決定

(B)23. 關於行政程序法適用之敘述，下列何者錯誤？
(A) 立法院拒絕民眾申請參觀立法院時，不適用行政程序法
(B) 內政部移民著就本國人之入、出境許可，不適用行政程序法
(C) 外交部就援助友邦之行為，不適用行政程序法
(D) 檢察官指派司法警察調查犯罪嫌疑人之犯罪事證，不適用行政程序法

(D)24. 下列何者得適用行政程序法之程序規定？
(A) 立法院限制記者採訪之區域與時間
(B) 直轄市政府不動產糾紛調處委員會對出租人作出不利之調處決定
(C) 因護照相片模糊拒絕發給外國人入境簽證
(D) 因消防檢查不合格而命令賣場停止營業

(B)25. 下列機關之行政行為，何者適用行政程序法規定？
(A) 臺灣桃園地方檢察署
(B) 臺南市政府交通局
(C) 臺北市議會
(D) 監察院

(B)26. 依行政程序法第3條〔規定，下列何機關之行政行為，不適用該法之程序規定？
(A) 教育部
(B) 監察院
(C) 交通部
(D) 台北市政府

(A)27. 下列何者不適用行政程序法之程序規定？
(A) 考選部辦理國家考試命題
(B) 縣政府辦理民眾陳情案件
(C) 警察進行交通違規勸導
(D) 監理站開立違反道路交通管理事件裁決書

(D)28. 1行政程序法第3條規定1，下列哪個機關之行政行為，除法律另有規定者外1適用行政程序法之程序規定？
(A) 各級民意機關
(B) 司法機關
(C) 監察機關
(D) 考試機關

(B)29. 依|行政程序法第3條1規定，下列機關之行政行為，何者適用行政程序法之程序規定？
(A) 立法院
(B) 市政府
(C) 法院
(D) 監察院

(D)30. 「行政行為應受法律及一般法律原則之拘束」稱之為：
(A) 信賴保護原則
(B) 平等原則
(C) 法明確性原則
(D) 依法行政原則

(C)31. 行政程序法第4條規定：「行政行為應受法律及一般法律原則之拘束。」所稱「一般法律原則」，不包括下列何者？
(A) 誠實信用原則
(B) 比例原則
(C) 罪刑法定原則
(D) 信賴保護原則

(C)32. 關於比例原則之敘述，下列何者錯誤？
(A) 比例原則為行政行為應遵守之一般法律原則
(B) 違反比例原則之行政裁量，構成裁量濫用
(C) 僅干預行政適用比例原則
(D) 雙方行政行為亦適用比例原則

(C)33. 有關行政程序法所定「行政行為之內容應明確」之敘述，下列何者錯誤？
(A) 行政行為之內容意涵應使人民可以理解
(B) 所使用之文字意義為受規範者所得預見
(C) 所使用之文字意義應具有公平性
(D) 所使用之文字意義可經由司法審查加以確認

(B)34. 下列何者為行政法平等原則之敘述？
(A) 應以法律規定之事項不得以命令定之
(B) 非有正當理由不得為差別待遇
(C) 行政行為應受法律及一般法律原則之拘束
(D) 應於當事人有利及不利之情形一律注意

(B)35. 平等原則係指行政行為，非有正當理由，不得為：
(A) 信賴保護
(B) 差別待遇
(C) 比例措施
(D) 行政判斷

(B)36. 下列何者非行政程序法之一般法律原則？
(A) 比例原則
(B) 職權便宜原則
(C) 平等原則
(D) 信賴保護原則

(D)37. 行政機關為行政行為時，若有多種手段可供選擇時，應採取對相對人所造損害最輕微之手段為之，此屬於那一種法律上原則的要求？
(A) 法律保留原則
(B) 誠信原則
(C) 平等原則
(D) 比例原則

(D)38. 依行政程序法規定，下列何者屬於比例原則之要求？
(A) 行政行為，應以誠實信用之方法為之，並應保護人民正當合理之信賴
(B) 行政機關行使裁量權，不得逾越法定之裁量範圍，並應符合法規授權之目的
(C) 行政行為，非有正當理由，，不得為差別待遇
(D) 有多種同樣能達成目的之方法時，應選擇對人民權益損害最少者

(A)39. 有關行政法比例原則內容之敘述，下列何者錯誤？
(A) 有多種達成目的的方法時應選擇對政府損害最少之原則
(B) 採取的手段應有助於目的的達成
(C) 手段上不得以大第一篇行政程序法7砲打小鳥，又稱禁止過度原則
(D) 採取的手段所造成的損害不得與達到目的之利益顯失均衡

(D)40. 設某丙上全國法規資訊網查閱行政程序法條文>某條文中明文「有多種同樣能達成目的之方法時，應選擇對人民權益扌員害最少者」，這是何種原則之規範？
(A) 正當程序原則
(B) 實質平等原則
(C) 信賴保護原則
(D) 比例原則

(A)41. 下列何者不屬於「比例原則」？
(A) 對人民自由或權利的限制，應有法律明確依據
(B) 德國法諺「不得以大砲打小鳥」即隱含比例原則
(C) 採取的方法所造成的損害不得與所欲達成的利益顯失均衡
(D) 為達成一定行政目的採取之手段，應選擇對人民權利限制最小者為之

(B)42. 行政程序法第7條規定：「有多種同樣能達成目的之方法時，應選擇對人民權益損害最少者」，係表徵何種原則之內涵？
(A) 明確性原則
(B) 比例原則
(C) 平等原則
(D) 權力分立原則

(A)43. 依行政程序法規定，下列何者非行政行為應遵行之原則？
(A) 按型政人員主觀意圖行之
(B) 有多種同樣能達成目的之方法時，應選擇對人民權益損害最少者
(C) 採取之方法應有助於目的之達成
(D) 採取之方法所造成之損害不得與欲達成目的之利益顯失均衡

(D)44. 依據行政程序法規定，有關行政行為之敘述，下列何者錯誤？
(A) 非有正當理由，不得為差別待遇
(B) 內容應明確
(C) 應以誠實信用方法為之
(D) 有多種同樣能達成目的之方法時，得任擇其一

(A)45. 警察驅離和平靜坐，集會遊行之民取有多種法定手段選擇時，應遵守何種原則？
(A) 最小侵害原則
(B) 平等原則
(C) 信賴保護原則
(D) 法律明確性原則

(C)46. 國會在制定法律干預人民的基本權時，其干預的方式與範圍不得逾越必要的程度，此為下列何項原則？
(A) 不當聯結禁止原則
(B) 信賴保護原則
(C) 比例原則
(D) 平等原則

(C)47. 公務員之懲戒，屬下列何種國家公權力之範圍？
(A) 立法
(B) 監察
(C) 司法
(D) 行政

(D)48. 公務人員退休資遣撫血卩對於公務人員權利有重大影響，應以法律規定，此屬於下列何等原則之要求？
(A) 法律安定性原則
(B) 法律優位原則
(C) 法律明確性原則
(D) 法律保留原則

(A)49. 行政機關作成裁罰性行政處分前，應給予處分相對人陳述意見之機會，係屬下列那一法律原則之落實？
(A) 正當法律程序原則
(B) 誠實信用原則
(C) 比例原則
(D) 明確性原則

(B)50. 行政程序法第五條至第八條之法治國家原則中，不包括下列何者？
(A) 明確性原則
(B) 一事不二罰原則
(C) 實質平等原則
(D) 信賴保護原則

(C)51. 行政機關的下列何種行為，不屬於行政程序法的規範範圍？
(A) 訂定法規命令
(B) 處理陳情
(C) 締結私法上契約
(D) 確定行政計畫

(A)52. 依司法院大法官釋字第514號解釋，營業自由係何種基本權利導出之權利？
(A) 工作權及財產權
(B) 工作權及結社自由
(C) 契約自由及財產權
(D) 結社自由及財產權

(C)53. 依司法院大法官釋字第525號解釋，行政法規之修正，若對人民更為不利者，應規定過渡條款，係基於何種考量？
(A) 法之明確性
(B) 法律保留
(C) 信賴保護
(D) 不當聯結禁止

(B)54. 依行政程序法，行政行為應以下列何者之方法為之，並應保護人民正當合理之信賴？
(A) 經濟效能
(B) 誠實信用
(C) 階級考量
(D) 重視道德

(A)55. 依行政程序法第9條與第10條之規定，下列何者是行政機關行使行政行為應注意之事項？
(A) 應注意當事人有利及不利之情形
(B) 得逾越法定之裁量範圍
(C) 不必符合法規授權之目的
(D) 不應注意當事人有利之情形

(C)56. 有關行政機關訂定行政裁量準則作為下級機關行使裁量權之依據，下列說明何者正確？
(A) 此一裁量準則必須得到立法機關明文之授權
(B) 準則具有拘束各機關之效力，包括法院亦受其拘束
(C) 此等裁量準則，倘若能實踐具體個案之正義-又能實踐行政的平等對待原則，並非法律所不許
(D) 裁量準則僅限於與行政制裁無關之事項

(B)57. 同一事件，數個以上行政機關依行政程序法第11條、12條之規定均有管轄權者，該事件應當由何一機關管轄？
(A) 由地理上最接近之機關管轄
(B) 由受理在先之機關管轄總
(C) 由受理在後之機關管轄
(D) 由機關組織規模決定

(D)58. 下列何者非屬行政程序法第12條規定，得作為判定管轄權之審酌依據？
(A) 不動產之所在地
(B) 自然人之住所或居所
(C) 經營企業之處所
(D) 行政法院所在地

(C)59. 同一事件若數行政機關均有管轄權者，依行政程序法之規定，應如何決定管轄？
(A) 由其共同之上級機關決定
(B) 由地域較近之機關管轄
(C) 受理在先之機關管轄
(D) 由各該行政機關共同管轄

(B)60. 依行政程序法第13條規定，同一事件如果數個行政機關均有管轄權者，如何決定10國稅局約僱人員甄試(李強老師編著)管轄？
(A) 由上級機關決定
(B) 由受理在先之機關管轄
(C) 由數行政機關共同管轄
(D) 由較近之轄區機關管轄

(B)61. 數行政機關皆主張對同一事件有管轄權時，依行政程序法規定，應如何決定管轄機關？
(A) 由各該機關協議定之
(B) 由共同上級機關定之
(C) 由總統行使院際調解權
(D) 由最先受理案件之機關管轄

(D)62. 數行政機關對於同一事件均有管轄權時，依行政程序法規定，下列敘述何者正確？
(A) 數行政機關得共同作成行政行為
(B) 先由各行政機關協議決定管轄機關
(C) 先由各行政機關之共同上級機關指定管轄機關
(D) 有為緊急行為之必要時，為必要職務行為之機關應通知其他機關

(D)63. 依行政程序法之規定，關於行政機關管轄權之敘述>下列何者錯誤？
(A) 行政機關之管轄權非依法規不得設定或變更，係管轄法定原則之展現
(B) 同一事件，數行政機關依法均有管轄權而不能分別其受理之先後者，應先由各該機關協議定之
(C) 行政機關因法規之變更而喪失案件之管轄權時，如經當事人及有管轄權機關之同意，得繼續處理該案件
(D) 行政機關對於人民之申請事件，認為係屬其他機關管轄者，應不予受理並通知當事人向該機關提出申請

(A)64. 依行政程序法規定，如同一事件數機關均有管轄權時，應先由下列哪一個機關管轄？
(A) 受理在先之機關
(B) 受理在後之機關
(C) 不問受理之先後，均得協議定之
(D) 當事人指定之機關

(D)65. 數行政機關於管轄權有爭議時，由其共同上級機關決定之，無共同上級機關時，由下列何者協議定之？
(A) 各該監察機關
(B) 各該民意機構
(C) 各該立法機關
(D) 各該上級機關

(B)66. 台北市政府環保局與新北市政府環保局於管轄權有爭議時，應如何解決？
(A) 由行政院決定之
(B) 由台北帝政府與新北市政府協議定之
(C) 由台北市政府環保局與新北市政府環保局協議定之
(D) 由內政部決定之

(C)67. 依行政程序法之規定，有關行政機關管轄權的說明，下列何者錯誤？
(A) 行政機關第一篇行政程序法〃之管轄權非依法規不得設定或變更
(B) 行政機關之組織法規變更管轄權之規定，而相關行政法規所定管轄機關尚未一併修正時，原管轄機關得會同組織法規變更後之管轄機關公告或逕由其共同上級機關公告變更管轄之事項
(C) 行政機關僅得依法律將其權限之一部分，委任所屬下級機關執行之
(D) 人民對行政機關依行政程序法第14條所為指定管轄之決定，不得聲明不服

(C)68. 行政機關受理人民申請案件，發現管轄錯誤、非屬受理機關權限範圍則根據行政程序法之規定，受理之機關應當：
(A) 直接駁回申諸
(B) 通知申請人補正相關瑕疵
(C) 應立即移送有管轄權之機關，並通知當事人
(D) 依職權當作本機關之業務加以處理

(B)69. 依行政程序法之規定，人民對於行政機關依其申請所為指定管轄之決定，下列敘述何者正確？
(A) 可提起訴願
(B) 不得聲明不服
(C) 提起行政訴訟
(D) 得聲明異議

(D)70. 依行政程序法之規定，行政機關得依法規將其權限之一部分，交由所屬下級機關執行之，稱為何種關係？
(A) 委託
(B) 信託
(C) 委辦
(D) 委任

(A)71. 台中市政府將其權限移轉給台中市政府交通局執行稱為：
(A) 委任
(B) 委託
(C) 委辦
(D) 行政委託

(A)72. 行政機關因業務上需要，得依法規將權限之一部分交給所屬下級機關執行，行政程序法稱此為何種行為？
(A) 委任
(B) 委託
(C) 受委託行使公權力
(D) 委辦

(A)73. 依行政程序法規定，下列何者非屬權限移轉之合法要件？
(A) 上級機關核定
(B) 須公告權限移轉之事項
(C) 須有法規依據
(D) 須刊登於政府公報或新聞紙(109年地方政府四等特考】

(A)74. 行政機關依法規將其權限之一部分，交由不相隸屬之行政機關執行，稱之為何？
(A) 委託
(B) 委任
(C) 委辦
(D) 受託行使公權力

(A)75. 有關行政程序法第15條第2項所規定之「權限委託」之說明，下列何者錯誤？
(A) 得為權限之一部或全部委託
(B) 須有法規之依據
(C) 應將委託事項公告
(D) 發生於不相隸屬之機關之間

(A)76. A市政府將其權限移由A市政府環保局執行，稱為下列何者？
(A) 委任
(B) 委辦
(C) 委託
(D) 行政委託

(A)77. 依據行政程序法規定，上級行政機關將部分管轄權移轉至隸屬之下級行政機關，稱之為何？
(A) 權限委任
(B) 權限移轉
(C) 權限委辦
(D) 權限委託

(D)78. 公路主管機關依公路法規定，委託民間汽車修理業廠商辦理汽車定期檢查，在行政程序法上屬下列何種行為？
(A) 權限委任
(B) 職務協助
(C) 委辦
(D) 公權力委託

(D)79. 行政院農業委員會將老年農民福利津貼之審核及發放業務交勞工保險局辦理，在,行政程序法上屬下列何種行為？
(A) 權限委任
(B) 受委託行使公權力
(C) 事務委辦
(D) 權限委託

(B)80. 依行政程序法第16條1規定，行政機關依法將其權限之一部分，交由民間團體或個人辦理，稱為下列何者？
(A) 委任
(B) 委託
(C) 委辦
(D) 承攬

(B)81. 依行政程序法之規定，關於行政管轄，下列敘述何者錯誤？
(A) 行政機關之管轄，需依組織法或其他行政法之規定即管轄恆定原則
(B) 管轄權得依當事人合意設定或變更
(C) 不動產事件之管轄依不動產所在地
(D) 企業經營事件之管轄依經營企業之處所

(A)82. 行政機關因法規或事實之變更而喪失管轄權時，下列處理方式何者錯誤？
(A) 為發揮行政一體之行政機能，經通知有管轄權之行政機關後'亦得由原管轄機關繼續處理該案件
(B) 經當事人及有管轄權機關之同意，亦得由原管轄機關繼續處理該案件
(C) 行政機關對事件管轄權之有無，應依職權調查之
(D) 如未將案件移送有管轄權之機關致違反專屬管轄規定時，該處分為無效

(D)83. 行政機關執行職務時，在一定情形下，得向無隸屬關係之其他機關請求協助'下列何者並非上述情形？
(A) 因法律上之原因，不能獨自執行職務者
(B) 因人員、設備不足等事實上之原因，不能獨自執行職務者
(C) 執行職務所必要認定之事實，不能獨自調查者
(D) 由被請求機關協助執行-顯較能保持行政中立者

(D)84. 下列何者非行政程序法所明文規定得向其他機關請求職務協助之情形內？
(A) 由被14國稅局約僱人員甄試(李強老師編著)請求機關協助執行，顯較經濟者
(B) 執行職務所必要之文書或其他資料，為被請求機關所持有者
(C) 執行職務所必要認定之事實，不能獨自調查者
(D) 被請求機關法定職權不明者

(C)85. 在行政機關請求其他機關協助時，被請求機關於下列何種情形，得提供職務協助？
(A) 協助之行為，非被請求機關權限範圍
(B) 協助之行為，依法不得為之者
(C) 執行職務所必要之文書或其他資料，為被請求機關所持有者
(D) 如被請求機關提供協助，將嚴重妨害其自身職務之執行者

(D)86. A市政府都市更新處為辦理都市更新，以書面向A市政府戶政機關請•求提供相關權利人之戶籍資料。都市更新處請求戶政機關提供資料之行為，涉及下列何者？
(A) 權限委任
(B) 權限委託
(C) 行政助手
(D) 職務協助

(A)87. 下列何者為行政機關之職務協助？
(A) 臺中市監理站請臺中市政府警察局提供交通違規影像
(B) 苗栗縣政府衛生局請苗栗市衛生所規劃疫苗接種站
(C) 警察請違規停車之車主移置車輛
(D) 臺北市政府行政處請府內媒體事務中心發布活動新聞稿

(B)88. 有關行政程序法規定之機關間職務協助，下列敘述何者錯誤？
(A) 除緊急情形外，應以書面為之
(B) 被請求機關不得拒絕
(C) 被請求機關得向請求協助機關要求負擔職務協助所需費用
(D) 得向無隸屬關係之其他機關請求協助

(C)89. 下列何者非屬行政程序法所稱之當事人？
(A) 參與行政程序之參加人
(B) 與行政機關締結行政契約之相對人
(C) 訂定法規命令之提議人
(D) 檢舉污染之陳情人

(C)90. 行政程序法上所稱之當事人，不包括下列何人？
(A) 行政機關實施行政指導之相對人
(B) 與行政機關締結行政契約之相對人
(C) 鑑定人與證人
(D) 授益性行政處分之申請人

(B)91. 依行政程序法第20條之規定，下列何者非行政程序之當事人？
(A) 依行政程序法規定參加行政程序之參加人
(B) 與人民締結行政契約之行政機關
(C) 與行政機關締結行第一篇行政程序法15政契約之相對人
(D) 申請行政機關作成行政處分之申請人

(D)92. 下列何者並無行政程序之當事人能力？
(A) 自然人
(B) 法人
(C) 農田水利署
(D) 非法人團體又未設置代表人或管理人者

(B)93. 下列何者非行程程序之當事人？
(A) 反應路口號誌故障之陳情人
(B) 刑事訴訟之被告
(C) 被警察勸導的交通違規行為人。
(D) 代辦汽車檢驗之汽車修理廠

(D)94. 下列何者未具有行政程序之當事人能力？
(A) 自然人
(B) 法人
(C) 非法人之團體設有代表人或管理人者
(D) 行政單位

(D)95. 112年1月1日以前有行政程序之行為能力者須年滿幾歲？
(A) 16歲
(B) 17歲
(C) 18歲
(D) 20歲

(C)96. 112年1月1日以後有行政程序之行為能力者須年滿幾歲?
(A) 16歲
(B) 17歲
(C) 18歲
(D) 20歲

(C)97. 依據行政程序法規定，有關行政程序當事人之敘述，下列何者錯誤？
(A) 法人具有行政程序之當事人能力
(B) 當事人經行政機關之許可，得偕同輔佐人到場
(C) 法律上利益受影響之第三人，不得為當事人
(D) 當事人之更換，非以書面通知行政機關不生效力

(C)98. 根據行政程序法之規定，行政機關得依職權或依申請，通知其參加為當事人者，應具備何種要件？
(A) 主觀上關心行政程序之進行者
(B) 於行政機關之決定經濟上無利害關係者
(C) 因程序之進行將影響第三人之權利或法律上利益者
(D) 熱心公益事務者

(D)99. 有關行政程序代理人)下列敘述何者正確？
(A) 行政程序代理人應於每次為行政程序行為時，提出委任書
(B) 原則上，每一當事人僅得委任1名代理人
(C) 代理權之授與，及於該行政程序有關之全部行為，包括撤回申請程序
(D) 代理權授與之撤回，經通知行政機關後，始對行政機關發生效力

(A)100. 依據行政程序法規定，有關行政程序代理人之敘述，下列何者正確？
(A) 代理人應於最初為行政程序行為時，提出委任書
(B) 每一當事人委任之代理人不得逾2名
(C) 代理人不得委任他人為複代理人
(D) 代理人有2名以上者，不得單獨代理當事人［112年北區國稅局】

(A)101. 行政程序中，授與代理龍之本人倘若死亡，其代理權：
(A) 不因本人死亡而消滅
(B) 當然消滅
(C) 暫時終止
(D) 行政程序法未規定

(C)102. 多數有共同利益之當事人，未共同委任代理人者，得選定其中何者為全體為行政程序行為？
(A) 二人至三人
(B) 三人至五人
(C) 一人至五人
(D) 二人至四人

(C)103. 依據行政程序法規定，輔佐人所為之陳述，當事人或代理人若未作下列何項表示者，視為其所自為？
(A) 立即提出訴訟
(B) 立即提出申訴
(C) 立即提出異議
(D) 立即提出訴願

(A)104. 當事人申請公務員迴避時，應向下列何者為之：
(A) 該公務員所屬機關
(B) 該公務員所屬上級機關
(C) 該公務員所屬長官
(D) 該公務員本人

(D)105. 根據行政程序法之規定，下列何種情形，公務員於執行職務時應自行迴避？
(A) 本人之直系血親卑親屬與當事人為共同權利人
(B) 有具體事實>足認其執行職務有偏頗之虞者
(C) 本人與當事人為五親等之姻親
(D) 本人或其配偶、前配偶，就該事件與當事人有共同權利人或共同義務人之關係者

(C)106. 依行政程序法規定，關於迴避之敘述，下列何者正確？
(A) 迴避均應由當事人列具理由，向公務員所屬行政機關提出申請
(B) 當事人舉出原因及事實，主張公務員執行職務有偏頗之虞，行政機關應即命其迴避
(C) 公務員應自行迴避之事由，不包括其配偶受僱於該事件當事人之情形
(D) 被申請迴避之公務員在其所屬機關作成准駁決定前，應暫時停職

(C)107. 下列何者不屬於公務員在行政程序中應自行迴避之事由？
(A) 現為或曾為該事件當事人之代理人、輔佐人
(B) 於該事件，曾為證人、鑑定人者
(C) 與事件之當事人為師第一篇行政程序法19生關係
(D) 前配偶為事件之當事人

(B)108. 依行政程序法第32條規定，公務員在行政程序中，應自行迴避，下列何者為非？
(A) 本人或其配偶、前配偶，就該事件與當事人有共同權利人或共同義務人之關係者
(B) 本人或其配偶、前配偶、五親等內之血親或四親等內之姻親或曾有此關係者為事件之當事人時
(C) 現為或曾為該事件當事人之代理人、輔佐人者
(D) 於該事件，曾為證人'鑑定人者

(B)109. 民眾乙發生車禍，車輛行車事故鑑定委員會經受理乙方之申請後，指派甲為該案之承辦人，以進行車禍案件之肇事因素分析，請問下列敘述何者錯誤？
(A) 乙發現甲的父親為其車禍之對造駕駛，乙得申請甲迴避
(B) 甲的前妻為民眾乙車禍之對造駕駛，甲不須自行迴避
(C) 乙得委任3名代理人
(D) 如乙為6歲，應由其法定代理人代為行政程序行為

(A)110. 依行政程序法規定，下列有關證據之敘述何者錯誤？
(A) 行政機關調查證據應尊重當事人之主張而受其拘束
(B) 對當事人有利不利事項一律注意
(C) 行政機關得選定適當之人為鑑定
(D) 行政機關為瞭解事實真相得實施勘驗［102年北區國稅局】

(C)111. 依照行政程序法規定，行政機關調查證據之原則為何？
(A) 當事人協力
(B) 當事人調查
(C) 職權調查
(D) 職權協助

(B)112. 行政機關為行政處分時必須進行調查證據，而且不受當事人主張之拘束，對當事人有利及不利事項一律注意，並不得為裁量濫用行為，此為下列何者原則？
(A) 當事人進行主義
(B) 職權調查主義
(C) 法定證據主義
(D) 自由心證主義

(B)113. 行政機關可在數個合法、可行的途徑中選擇其認為最適合、最可以達成行政目的之方法，此種原則為：
(A) 行政一體
(B) 裁量
(C) 事實之涵攝
(D) 一事不再理

(D)114. 依據行政程序法規定，有關行政機關調查事實及證據之敘述，下列何者錯誤？
(A) 對當事人不利之事項亦須注意
(B) 得要求第三人提供必要之文書
(C) 不受到當事人主張之拘束
(D) 得電話通知當事人陳述意見

(B)115. 防疫期間'衛生局收到民眾甲檢舉A店家未遵守相關防疫規定，請問下列敘述何者錯誤？
(A) 衛生局得請甲提供A店家之違規影像
(B) 衛生局基於調查之必要，得電話通知A店家陳述意見
(C) A店家得向衛生局申請調查證據
(D) 衛生局調查事實及證據，必要時得據實製作書面紀錄

(D)116. 依行政程序法之規定，關於行政機關於行政程序中調查事實及證據之敘述，下列何者正確？
(A) 行政機關基於調查事實及證據之必要，應以書面通知相關之人進行聽證程序
(B) 基於程序客觀性之要求，當事人僅得向行政機關申請調查證據，而不得自行提出
(C) 行政機關調查事實及證據，應依職權或當事人之申請製作書面紀錄，並送達予當事人
(D) 行政機關得選定適當之人以書面為鑑定，必要時並得通知鑑定人到場說明

(A)117. 有關行政機關調查事實及證據>下列敘述何者正確？
(A) 機關得選定適當之人為鑑定
(B) 行政機關應依職權調查證據，但仍受當事人主張之拘束
(C) 當事人於行政程序中，不得向行政機關申請調查事實及證據
(D) 行政機關基於調查事實及證據之必要，不得要求第三人提供必要之文書、資料或物品

(B)118. 行政機關為處分或其他行政行為，應斟酌全部陳述與調查事實及證據之結果，依下列何者判斷事實之真偽，並將其決定及理由告知當事人？
(A) 比例及平等原則
(B) 論理及經驗法則
(C) 自然及法定原則
(D) 自由與心證法則

(D)119. 下列何者依行政程序法規定，得向行政機關申請閱覽或抄寫有關資料或卷宗？
(A) 證人
(B) 輔佐人
(C) 鑑定人
(D) 利害關係人

(D)120. 依照行政程序法規定，下列何人不具閱覽卷宗申請權？
(A) 與行政機關締結行政契約之相對人
(B) 依本法規定參加行政程序之人
(C) 申請人
(D) 鑑定人

(D)121. 行政程序法中有關閱覽卷宗之規定，下列何者正確？
(A) 任何人均得請求閱覽、抄錄行政程序有關卷宗資料
(B) 當事人得就未給予閱覽卷宗之處置，直接提起訴願
(C) 閱覽卷宗時如發現其中資料關於他人之記載有錯誤，得請求更正
(D) 適用分離原則，故涉及公務機密之文書資料中，如無保密必要之部分，仍應准許閱覽

(C)122. 關於行政程序法第46條之閱覽卷宗，下列敘述何者錯誤？
(A) 當事人或利害關係人得向行政機關申請閱覽卷宗
(B) 申請閱覽卷宗須以主張或維護其法律上利益有必要者為限
(C) 行政機關不得拒絕當事人閱覽卷宗之申請
(D) 當事人申請閱覽卷宗被拒絕，不得逕行提起行政訴訟

(D)123. 下列何者不得依據行政程序法申請閱覽卷宗？
